Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster,Cluster-User
Briarwood,40.71093547,-73.81174822,NYC,Playground,Coffee Shop,Plaza,Deli / Bodega,Bus Station,Convenience Store,Indian Restaurant,Arts & Crafts Store,Fast Food Restaurant,Farmers Market,0,1
Oakwood,40.55846224,-74.12156594,NYC,Nightlife Spot,Bar,Bus Station,Lawyer,Playground,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,0,1
Bayswater,40.61132169,-73.76596781,NYC,Playground,Yoga Studio,Electronics Store,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,0,1
Riverdale,40.89083449,-73.91258546,NYC,Bus Station,Plaza,Bank,Park,Gym,Playground,Yoga Studio,Escape Room,Ethiopian Restaurant,Event Service,0,1
Country Club,40.84424594,-73.82409927,NYC,Playground,Chinese Restaurant,Trail,Athletics & Sports,Moving Target,Sandwich Place,Ethiopian Restaurant,Escape Room,Farmers Market,Event Space,0,1
Port Ivory,40.63968298,-74.17464533,NYC,Bar,Bus Station,Yoga Studio,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,0,1
"Moore Park, Summerhill East",43.6895743,-79.3831599,Toronto,Tennis Court,Trail,Park,Playground,Electronics Store,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,0,1
Dyker Heights,40.61921946,-74.01931376,NYC,Bagel Shop,Park,Burger Joint,Playground,Yoga Studio,Field,Ethiopian Restaurant,Event Service,Event Space,Exhibit,0,1
Pomonok,40.73493618,-73.8048612,NYC,Playground,Supermarket,Halal Restaurant,Bar,Park,Pizza Place,Bakery,Japanese Restaurant,Bowling Alley,Farm,0,1
Grymes Hill,40.62418479,-74.0872482,NYC,Dog Run,Yoga Studio,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,1,2
Midtown,40.7546911,-73.98166883,NYC,Hotel,Clothing Store,Spa,Theater,Sushi Restaurant,Bookstore,Bakery,Coffee Shop,Food Truck,Massage Studio,2,3
Murray Hill,40.74830308,-73.97833208,NYC,Korean Restaurant,Coffee Shop,Gym / Fitness Center,Hotel,Japanese Restaurant,Pizza Place,Bank,Spa,Sushi Restaurant,Taco Place,2,3
Murray Hill,40.76412612,-73.81276269,NYC,Korean Restaurant,Coffee Shop,Gym / Fitness Center,Hotel,Japanese Restaurant,Pizza Place,Bank,Spa,Sushi Restaurant,Taco Place,2,3
Chelsea,40.74403471,-74.00311633,NYC,Art Gallery,Coffee Shop,Bakery,Ice Cream Shop,American Restaurant,Italian Restaurant,Wine Shop,French Restaurant,Steakhouse,Bookstore,2,3
Chelsea,40.59472603,-74.18956046,NYC,Art Gallery,Coffee Shop,Bakery,Ice Cream Shop,American Restaurant,Italian Restaurant,Wine Shop,French Restaurant,Steakhouse,Bookstore,2,3
Greenwich Village,40.72693289,-73.99991403,NYC,Italian Restaurant,Clothing Store,Sushi Restaurant,Dessert Shop,Café,Coffee Shop,Indian Restaurant,American Restaurant,Boutique,Cosmetics Shop,2,3
Enclave of M4L,43.6627439,-79.321558,Toronto,Yoga Studio,Auto Workshop,Burrito Place,Butcher,Spa,Smoke Shop,Skate Park,Restaurant,Comic Shop,Pizza Place,2,3
Lower East Side,40.71780675,-73.98089032,NYC,Bakery,Chinese Restaurant,Pizza Place,Sandwich Place,Art Gallery,Café,Mexican Restaurant,Tailor Shop,Mediterranean Restaurant,Shoe Store,2,3
Clinton,40.75910089,-73.99611936,NYC,Theater,Italian Restaurant,Sandwich Place,Coffee Shop,American Restaurant,Gym / Fitness Center,Gym,Spa,Indie Theater,Cocktail Bar,2,3
Little Italy,40.71932379,-73.99730467,NYC,Bakery,Italian Restaurant,Café,Pizza Place,Hotel,Spa,Tea Room,Ice Cream Shop,Sandwich Place,Coffee Shop,2,3
Soho,40.72218384,-74.00065667,NYC,Clothing Store,Italian Restaurant,Shoe Store,Women's Store,Bakery,Salon / Barbershop,Boutique,Dessert Shop,Mediterranean Restaurant,Café,2,3
West Village,40.73443394,-74.00617998,NYC,Italian Restaurant,Cocktail Bar,Park,Wine Bar,New American Restaurant,American Restaurant,Seafood Restaurant,Coffee Shop,Jazz Club,Theater,2,3
Manhattan Valley,40.79730704,-73.96428618,NYC,Yoga Studio,Pizza Place,Café,Mexican Restaurant,Coffee Shop,Indian Restaurant,Grocery Store,Playground,Park,Liquor Store,2,3
Morningside Heights,40.80799974,-73.96389628,NYC,Bookstore,Café,Burger Joint,Sandwich Place,American Restaurant,Park,Coffee Shop,Deli / Bodega,Pub,Supplement Shop,2,3
Gramercy,40.73720983,-73.98137595,NYC,Pizza Place,Italian Restaurant,Sandwich Place,Coffee Shop,Cocktail Bar,Park,Taco Place,Ice Cream Shop,Diner,Mexican Restaurant,2,3
East Village,40.72784678,-73.98222617,NYC,Bar,Vegetarian / Vegan Restaurant,Wine Bar,Ice Cream Shop,Juice Bar,Korean Restaurant,Coffee Shop,Vietnamese Restaurant,Pizza Place,Mexican Restaurant,2,3
Tribeca,40.72152197,-74.01068329,NYC,Italian Restaurant,Spa,Park,Café,Cocktail Bar,Skate Park,Scenic Lookout,Playground,Men's Store,Hotel,2,3
